代码,	 时间,	 拉升涨幅,	 拉升成交量(手),	 t+1涨幅,	 t+2涨幅,	 t+3涨幅,	 t+4涨幅,	 6日最高涨幅
SH600787,	 2015-08-27	,0.070099	,50162.000000	,0.093878	,0.147959	,0.058163	,0.020408	,0.147959
SH600792,	 2015-08-03	,0.050752	,10828.000000	,0.050000	,0.064286	,0.069643	,0.066071	,0.069643
SH600794,	 2015-06-04	,0.052849	,132149.000000	,0.100079	,0.142632	,0.114263	,0.118203	,0.142632
SH600796,	 2015-05-27	,0.090382	,34783.000000	,0.079618	,0.002654	,0.034501	,0.077495	,0.079618
SH600796,	 2015-09-08	,0.032847	,30330.000000	,0.100118	,0.150766	,0.113074	,0.084806	,0.150766
SH600800,	 2015-09-08	,0.043091	,40952.000000	,0.078014	,0.056738	,0.043972	,0.063830	,0.078014
SH600803,	 2015-09-02	,0.058088	,9873.000000	,0.052226	,0.008562	,0.047089	,0.023116	,0.052226
SH600807,	 2015-05-27	,0.042945	,19180.000000	,0.065784	,0.045154	,0.065784	,0.070455	,0.070455
SH600807,	 2015-09-08	,0.047297	,78799.000000	,0.066116	,0.041322	,0.036731	,0.089073	,0.089073
SH600814,	 2015-09-15	,0.030864	,24296.000000	,0.100478	,0.099282	,0.040670	,0.058612	,0.100478
SH600815,	 2015-05-18	,0.083443	,102312.000000	,0.082017	,0.057716	,0.014581	,0.058323	,0.082017
SH600815,	 2015-07-29	,0.070812	,33146.000000	,0.069411	,0.041162	,0.015335	,-0.003228	,0.069411
SH600818,	 2015-09-02	,0.070886	,5711.000000	,0.108452	,0.141603	,0.184852	,0.193194	,0.193194
SH600820,	 2015-07-29	,0.073903	,206186.000000	,0.065233	,0.027240	,-0.035842	,-0.029391	,0.065233
SH600831,	 2015-09-08	,0.035881	,29323.000000	,0.075301	,0.024096	,0.007530	,0.039157	,0.075301
SH600834,	 2015-07-29	,0.050119	,10012.000000	,0.088636	,0.033523	,-0.022727	,-0.007386	,0.088636
SH600838,	 2015-09-11	,0.039079	,83138.000000	,0.073203	,-0.042982	,-0.047683	,0.047683	,0.073203
SH600839,	 2015-03-17	,0.059813	,470196.000000	,0.081272	,0.072438	,0.084806	,0.084806	,0.084806
SH600841,	 2015-09-02	,0.058065	,4632.000000	,0.095528	,0.176829	,0.232724	,0.236789	,0.236789
SH600844,	 2015-06-04	,0.039877	,43576.000000	,0.066470	,0.132939	,0.159527	,0.220827	,0.220827
SH600845,	 2015-07-07	,0.034999	,11344.000000	,0.100000	,0.209946	,0.195118	,0.121157	,0.209946
SH600845,	 2015-07-16	,0.060590	,2402.000000	,0.086102	,0.082829	,0.141922	,0.124570	,0.141922
SH600853,	 2015-04-01	,0.039189	,66678.000000	,0.097403	,0.123377	,0.096104	,0.123377	,0.123377
SH600853,	 2015-09-14	,0.094118	,115459.000000	,0.097987	,0.200000	,0.111409	,-0.021477	,0.200000
SH600853,	 2015-09-30	,0.074866	,262860.000000	,0.080846	,0.080846	,0.113184	,0.124378	,0.124378
SH600855,	 2015-06-19	,0.064191	,6567.000000	,0.093136	,0.131962	,0.178646	,0.113936	,0.178646
SH600855,	 2015-07-29	,0.070742	,18015.000000	,0.100000	,0.076358	,-0.009585	,0.006070	,0.100000
SH600857,	 2015-09-08	,0.049069	,13861.000000	,0.087832	,0.038678	,0.045125	,0.065270	,0.087832
SH600860,	 2015-04-10	,0.035642	,13597.000000	,0.096362	,0.096362	,0.114061	,0.100295	,0.114061
SH600862,	 2015-09-08	,0.060800	,29091.000000	,0.100302	,0.125189	,0.040724	,0.079186	,0.125189
SH600864,	 2015-09-08	,0.044280	,19222.000000	,0.050353	,0.041519	,0.018551	,0.024735	,0.050353
SH600865,	 2015-05-19	,0.076804	,22416.000000	,0.100000	,0.152153	,0.167464	,0.138756	,0.167464
SH600869,	 2015-09-21	,0.036364	,22518.000000	,0.098053	,0.146036	,0.221140	,0.147427	,0.221140
SH600871,	 2015-06-26	,0.061076	,176425.000000	,0.100429	,0.210300	,0.221459	,0.177682	,0.221459
